"infection",42
"issues",42
"kidnapped",42
"light",42
"male",42
"march",42
"murderer",42
"nos",42
"nytimes",42
"positive",42
"protests",42
"related",42
"reports",42
"secret",42
"soshongkong",42
"spreads",42
"suffer",42
"toll",42
"tonight",42
"uighur",42
"warning",42
"yesterday",42
"abuse",41
"avoid",41
"baka",41
"board",41
"boys",41
"brain",41
"chief",41
"cool",41
"court",41
"debt",41
"declaration",41
"freedomofspeech",41
"honest",41
"hours",41
"lesson",41
"missing",41
"october",41
"oppression",41
"perfect",41
"product",41
"protestors",41
"rally",41
"resign",41
"shopping",41
"york",41
"acting",40
"amount",40
"attacked",40
"causing",40
"clean",40
"continues",40
"coronaviruspic",40
"corruption",40
"critical",40
"december",40
"desde",40
"fechadocombolsonaroate",40
"funding",40
"gusto",40
"handling",40
"idiot",40
"jail",40
"loves",40
"malaysia",40
"mark",40
"massacre",40
"narrative",40
"nila",40
"pdchina",40
"pour",40
"punish",40
"puppets",40
"pure",40
"short",40
"sino",40
"star",40
"study",40
"tf",40
"bringing",39
"cdnpoli",39
"changed",39
"chinesecommunistparty",39
"comments",39
"ei",39
"esta",39
"fauci",39
"favorite",39
"forever",39
"hospitals",39
"intelligence",39
"lagi",39
"liberals",39
"listening",39
"minority",39
"native",39
"nonsense",39
"nung",39
"patriots",39
"production",39
"questa",39
"recent",39
"reporter",39
"spy",39
"stock",39
"sus",39
"tiene",39
"tortured",39
"trading",39
"ugly",39
"va",39
"wars",39
"whitehouse",39
"administration",38
"amp",38
"app",38
"artist",38
"block",38
"brother",38
"cancel",38
"chan",38
"chin",38
"christmaseve",38
"ci",38
"claims",38
"count",38
"covered",38
"danger",38
"directly",38
"ditaduradojudiciario",38
"dontald",38
"doriavaiquebrarsp",38
"experts",38
"fakenewsmedia",38
"false",38
"hkpf",38
"hkpolicemurderer",38
"ho",38
"hv",38
"insane",38
"invasion",38
"ir",38
"kase",38
"letting",38
"londont",38
"murdering",38
"opinion",38
"opportunity",38
"paper",38
"peaceful",38
"phone",38
"played",38
"pressure",38
"private",38
"puro",38
"record",38
"rep",38
"round",38
"season",38
"sorrynotsorry",38
"staff",38
"stfinimigodobrasil",38
"stfvergonhainternacional",38
"taiwanelection",38
"tds",38
"tokyo",38
"turkey",38
"winning",38
"acts",37
"af",37
"americafirst",37
"animal",37
"apologize",37
"authoritarian",37
"bank",37
"believes",37
"center",37
"cov",37
"credit",37
"du",37
"easily",37
"enter",37
"fail",37
"forces",37
"forward",37
"gang",37
"globalantitotalitarianis",37
"joint",37
"kongers",37
"lihkg",37
"looked",37
"losing",37
"medicine",37
"mother",37
"negara",37
"ohsorryccp",37
"saved",37
"service",37
"services",37
"sila",37
"similar",37
"status",37
"streets",37
"supposed",37
"transmission",37
"tweets",37
"uighurs",37
"unite",37
"wash",37
"abt",36
"allah",36
"apparently",36
"ate",36
"attacking",36
"australian",36
"basically",36
"becoz",36
"biological",36
"bitcoin",36
"books",36
"borders",36
"boss",36
"brown",36
"bu",36
"cities",36
"cultures",36
"date",36
"dinner",36
"direitaraizebolsonaro",36
"fan",36
"figures",36
"forgot",36
"fucked",36
"gente",36
"gi",36
"hongkongisnotchina",36
"hongkongprotester",36
"joe",36
"lack",36
"liars",36
"locked",36
"moving",36
"ou",36
"pathetic",36
"ph",36
"porque",36
"qui",36
"racists",36
"reasons",36
"release",36
"rid",36
"san",36
"servers",36
"smart",36
"socialism",36
"ss",36
"surprise",36
"technology",36
"usual",36
"wave",36
"wild",36
"yrs",36
"advice",35
"attacks",35
"blacks",35
"consequences",35
"creating",35
"dayslockdown",35
"director",35
"drop",35
"ebola",35
"failure",35
"hahahahahaha",35
"id",35
"infiltration",35
"kits",35
"knowing",35
"majority",35
"merry",35
"minutes",35
"ol",35
"pneumonia",35
"practice",35
"prices",35
"property",35
"racial",35
"reminder",35
"riot",35
"sale",35
"soup",35
"spent",35
"till",35
"tired",35
"uma",35
"useless",35
"warned",35
"weijia",35
"worth",35
"ai",34
"antitotalitarianism",34
"bbcasiannetwork",34
"bs",34
"building",34
"chinadaily",34
"chinesepneumonia",34
"claimed",34
"communistchina",34
"dahil",34
"defundwho",34
"descent",34
"development",34
"event",34
"feb",34
"firstplay",34
"hits",34
"holocaust",34
"honor",34
"hotel",34
"int",34
"legal",34
"liu",34
"lord",34
"lukedepulford",34
"meet",34
"mistake",34
"modern",34
"movies",34
"ngayon",34
"november",34
"oy",34
"pi",34
"pinas",34
"province",34
"savehongkong",34
"scientists",34
"shift",34
"silence",34
"sin",34
"suffrage",34
"surprised",34
"tem",34
"todos",34
"vous",34
"watched",34
"allowing",33
"ay",33
"built",33
"caught",33
"ch",33
"choose",33
"college",33
"cooking",33
"dec",33
"deep",33
"dos",33
"double",33
"final",33
"flag",33
"green",33
"helps",33
"heritage",33
"hollywood",33
"hurting",33
"ikaw",33
"impact",33
"impeachment",33
"ki",33
"kinda",33
"latino",33
"laws",33
"lil",33
"mao",33
"mexico",33
"nov",33
"partner",33
"plz",33
"pork",33
"pray",33
"religious",33
"silent",33
"smh",33
"stick",33
"survive",33
"threats",33
"trending",33
"valente",33
"viral",33
"access",32
"angry",32
"bigger",32
"chino",32
"collapse",32
"compensation",32
"contact",32
"coronavirustruth",32
"dealing",32
"door",32
"drug",32
"economies",32
"energy",32
"frica",32
"globally",32
"gop",32
"grateful",32
"ignore",32
"journalist",32
"kami",32
"logic",32
"luck",32
"mouth",32
"negative",32
"piece",32
"pigs",32
"punished",32
"recently",32
"rubbish",32
"sur",32
"suspected",32
"tag",32
"tea",32
"tells",32
"terrible",32
"trillion",32
"trip",32
"trudeau",32
"van",32
"agreed",31
"aus",31
"awesome",31
"berlin",31
"blue",31
"box",31
"brazil",31
"britain",31
"cash",31
"corrupted",31
"coverup",31
"covidiots",31
"coz",31
"cuando",31
"dari",31
"dates",31
"doll",31
"drama",31
"elections",31
"export",31
"february",31
"glad",31
"growing",31
"investment",31
"involved",31
"isso",31
"jokes",31
"landslide",31
"mentioned",31
"met",31
"mixed",31
"movement",31
"nygovcuomo",31
"offended",31
"organisation",31
"original",31
"payback",31
"plans",31
"prayforitaly",31
"promise",31
"proof",31
"raped",31
"reading",31
"saving",31
"scared",31
"scary",31
"schools",31
"sex",31
"shamechina",31
"sharing",31
"sis",31
"stage",31
"thread",31
"treated",31
"uae",31
"waste",31
"weekend",31
"xenophobic",31
"benefit",30
"bloody",30
"bodies",30
"boycottccp",30
"car",30
"catch",30
"cats",30
"cold",30
"cops",30
"cos",30
"credibility",30
"dark",30
"decision",30
"dem",30
"detained",30
"dia",30
"disinformation",30
"enemyofthepeople",30
